feature_set,target,task,model,cv_scheme,feature_type,n_components,train_pearson_r_mean,train_pearson_r_std,train_mse_mean,train_mse_std,test_pearson_r_mean,test_pearson_r_std,test_mse_mean,test_mse_std,train_f1_mean,train_f1_std,train_accuracy_mean,train_accuracy_std,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std
slow_deg2_30,valence,regression,mlp_regressor,kfold,slow_deg2,30.0,0.9281573480741824,0.015156049486346596,0.002259093969807677,0.0004636536216051153,0.9062171163500068,0.017518551096092048,0.002900615312240914,0.00048761289974082905,,,,,,,,
slow_deg2_5,arousal,regression,linear_regression,group_kfold,slow_deg2,5.0,0.13891053696414868,0.008417376587114259,0.03537503570402273,0.0007592209038457849,0.013544802521548273,0.14116787220246588,0.038158364165866085,0.01293761099257384,,,,,,,,
slow_deg2_5,arousal,regression,linear_regression,kfold,slow_deg2,5.0,0.1375987210460722,0.00131108967096458,0.035411379450154254,0.00010930843116973851,0.1385113980073497,0.023555386711448256,0.03543114715221069,0.0018591584405383778,,,,,,,,
slow_deg2_5,arousal,regression,mlp_regressor,group_kfold,slow_deg2,5.0,0.5773359978875727,0.021813741286238482,0.02423660243098789,0.000981289061900848,0.00489594747170574,0.14717428935115498,0.07575176851099104,0.10865995865597214,,,,,,,,
slow_deg2_5,arousal,regression,mlp_regressor,kfold,slow_deg2,5.0,0.5838758907149616,0.009958005424513939,0.024153978808031294,0.0007314345865402062,0.5387048571196353,0.03266716443576974,0.02600199936900417,0.0017837627867851034,,,,,,,,
slow_deg2_5,valence,regression,linear_regression,group_kfold,slow_deg2,5.0,0.24034927791907507,0.009384522055830357,0.015187468422004068,0.00044446902069983054,0.07148259458470042,0.15547554102439742,0.016604799856892595,0.007929804914971906,,,,,,,,
slow_deg2_5,valence,regression,linear_regression,kfold,slow_deg2,5.0,0.23914932210465814,0.0011745179155064323,0.01521110267604888,6.779533684523245e-05,0.239339431504611,0.019958040199225396,0.015220947920709568,0.0011531465236655663,,,,,,,,
slow_deg2_5,valence,regression,mlp_regressor,group_kfold,slow_deg2,5.0,0.5525723736578062,0.020428440611705265,0.011311884669521923,0.00043510876512422425,0.019032196412318618,0.1289536977216894,0.025274045624141504,0.024785825834044765,,,,,,,,
slow_deg2_5,valence,regression,mlp_regressor,kfold,slow_deg2,5.0,0.5468946337385484,0.012608617379921874,0.011435847426610876,0.00027463402581066296,0.5196593464397778,0.027844283721316865,0.011868461635915265,0.0007378520133119124,,,,,,,,
slow_deg3_10,arousal,regression,linear_regression,group_kfold,slow_deg3,10.0,0.3053779186877981,0.009893285085867311,0.03270661816410517,0.0007575270995277683,0.24464206228877927,0.12032546619538285,0.03668900455738633,0.014879518495497993,,,,,,,,
slow_deg3_10,arousal,regression,linear_regression,kfold,slow_deg3,10.0,0.30317745654750466,0.0012938485481937209,0.03277708588065639,0.0001105894627341067,0.3023911958184392,0.02302473988120154,0.03286664068562873,0.00188004665416859,,,,,,,,
slow_deg3_10,arousal,regression,mlp_regressor,group_kfold,slow_deg3,10.0,0.723238893879427,0.02345644044303709,0.017337631069428497,0.0014675258907093816,0.21789978108248323,0.1438168759322617,0.045638296709248,0.01952101277575214,,,,,,,,
slow_deg3_10,arousal,regression,mlp_regressor,kfold,slow_deg3,10.0,0.7196436148179826,0.025047774918659893,0.017662754125355718,0.0015052692418525096,0.6602616521970988,0.024278639779164606,0.020731260008295834,0.0014107237228951225,,,,,,,,
slow_deg3_10,valence,regression,linear_regression,group_kfold,slow_deg3,10.0,0.27218102823667656,0.009027332298807478,0.014924606669817729,0.0004393213776836662,0.21051429478414627,0.1715777788659037,0.01608328349450494,0.00774967014843929,,,,,,,,
slow_deg3_10,valence,regression,linear_regression,kfold,slow_deg3,10.0,0.2710482967483439,0.0016621579072599252,0.01494849871363186,6.611935553248448e-05,0.26965926415326374,0.028897178130051528,0.014970066530697814,0.0011232737634436652,,,,,,,,
slow_deg3_10,valence,regression,mlp_regressor,group_kfold,slow_deg3,10.0,0.5773984550914234,0.06458474894456741,0.011076788652538406,0.0017761169680837856,0.19779795541507214,0.1599388591973597,0.020909113286583125,0.01021492343545885,,,,,,,,
slow_deg3_10,valence,regression,mlp_regressor,kfold,slow_deg3,10.0,0.6026504757316977,0.02907736637490017,0.010418612115614838,0.0006893489041859918,0.5533172684886511,0.03155623235589592,0.011391022347208903,0.0010026607745980028,,,,,,,,
slow_deg3_15,arousal,regression,linear_regression,group_kfold,slow_deg3,15.0,0.4030132073319366,0.010079230367393366,0.03021102414860292,0.0007075520777072097,0.36969737214152976,0.122073419059854,0.035134204057275235,0.013741383490148588,,,,,,,,
slow_deg3_15,arousal,regression,linear_regression,kfold,slow_deg3,15.0,0.4008167419330675,0.0013569814605674353,0.030295958574301743,9.064843064513376e-05,0.39999777125482955,0.022761774517390365,0.030385805287738613,0.0015311683615600962,,,,,,,,
slow_deg3_15,arousal,regression,mlp_regressor,group_kfold,slow_deg3,15.0,0.8222331282705815,0.01813021745413733,0.011817168196846299,0.0011137166501681386,0.2344733805210331,0.10286245652933357,0.055590805900308626,0.0374548101264583,,,,,,,,
slow_deg3_15,arousal,regression,mlp_regressor,kfold,slow_deg3,15.0,0.8237408597265305,0.03024950598585828,0.011803365608539956,0.0019528687972916198,0.7544172118943068,0.03315408562674055,0.015879987869962878,0.002296010268521181,,,,,,,,
