feature_set,target,task,model,cv_scheme,feature_type,n_components,train_pearson_r_mean,train_pearson_r_std,train_mse_mean,train_mse_std,test_pearson_r_mean,test_pearson_r_std,test_mse_mean,test_mse_std,train_f1_mean,train_f1_std,train_accuracy_mean,train_accuracy_std,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std
pca_20,arousal,classification,logistic_regression,kfold,pca,20.0,0.4124531359709141,0.0021250037637536193,,,0.40926519755065516,0.034134406447774296,,,0.6847747840300735,0.0019060322574095613,0.6850334584749274,0.0018845791624392224,0.6832716648539022,0.0211603605469844,0.6835314482336425,0.021154554970474568
pca_20,arousal,classification,mlp_classifier,group_kfold,pca,20.0,0.99698180526224,0.003048284067701077,,,0.19874904925485531,0.08605764355119612,,,0.9993205889828053,0.001687464179631007,0.9993205523385836,0.001687612013992795,0.6130735239037233,0.04074280572855134,0.5954951507638903,0.03847183498988873
pca_20,arousal,classification,mlp_classifier,kfold,pca,20.0,0.9943741398372903,0.006789901587753128,,,0.5142899828604021,0.04190112356183116,,,0.9976092956992204,0.0046874165076988515,0.9976094025129851,0.00468712391492558,0.7441650104154066,0.019318974609150642,0.744219625724328,0.019302109006187874
pca_20,valence,classification,logistic_regression,group_kfold,pca,20.0,0.3246157941719676,0.01105450621530653,,,0.3195108526876801,0.18404005323072617,,,0.6404942363917374,0.005156555930151062,0.6412451494181579,0.004986297670487169,0.6409629172852097,0.06812805201544217,0.6178590093378438,0.08709480497048691
pca_20,valence,classification,logistic_regression,kfold,pca,20.0,0.32403200940662163,0.0015262085689546957,,,0.3196998267318091,0.026413229184617155,,,0.6400243403953799,0.0009612854538376261,0.6404678539292811,0.000936495453731616,0.6375962725066644,0.012716326940184649,0.6381435040055731,0.012763235282437056
pca_20,valence,classification,mlp_classifier,group_kfold,pca,20.0,0.994807701687599,0.007010096850266186,,,0.11288782316835672,0.0953465527081129,,,0.9980497976663842,0.004896384827402272,0.9980497938866697,0.004896387340030339,0.5647770576927882,0.045950802938853785,0.5390791090445396,0.05855398475139649
pca_20,valence,classification,mlp_classifier,kfold,pca,20.0,0.9911615775444385,0.010166350129281706,,,0.4718944115820076,0.0330738573606096,,,0.995411451128881,0.007414107259956196,0.9954123896992617,0.007412247953930547,0.7239081410172852,0.016048308292907376,0.7240939172287136,0.01608744167897249
pca_25,arousal,classification,logistic_regression,group_kfold,pca,25.0,0.4354867833222859,0.007655839373532841,,,0.43240729194349187,0.11390563615119494,,,0.6976658762955364,0.0035068152470228973,0.698034620050078,0.0034141824650810297,0.6935163595011431,0.047074665924734097,0.6779281581725424,0.060137313894573635
pca_25,arousal,classification,logistic_regression,kfold,pca,25.0,0.43471714177541027,0.0019154616115017848,,,0.430695295532882,0.030892642626272792,,,0.6960387708278827,0.0011119985065228652,0.6963155410292722,0.0010948856133975995,0.6947874230933095,0.013868570346515738,0.6950858638632934,0.013901746462723262
pca_25,arousal,classification,mlp_classifier,group_kfold,pca,25.0,0.9960249084317834,0.009896485239104039,,,0.22861417088556552,0.08860340800745208,,,0.9977750521578427,0.006548755845667773,0.9977757042647818,0.006546192934472728,0.6247391524371323,0.04696739852683539,0.6080153760510909,0.04488229861243593
pca_25,arousal,classification,mlp_classifier,kfold,pca,25.0,0.9954832450958175,0.007327232659938961,,,0.5849428188189023,0.03632908796021922,,,0.9975012844248418,0.004688983834843222,0.9975013506212859,0.004688835032071239,0.7800070268014192,0.01722532745052451,0.7800389474684146,0.01720863177023937
pca_25,valence,classification,logistic_regression,group_kfold,pca,25.0,0.33308556722886107,0.01085559456499292,,,0.324278291476802,0.17759317083382198,,,0.6468274566849392,0.004891592228217025,0.6475073653540919,0.004816680738700979,0.6444150196448128,0.06664741679727601,0.6212533108928064,0.08599483403972516
pca_25,valence,classification,logistic_regression,kfold,pca,25.0,0.3323826953295627,0.0015248327295516457,,,0.3272154833726526,0.026572798707089416,,,0.6468085969676025,0.0012532706137201677,0.6472073870210748,0.001231211186031186,0.6436233477454749,0.015203362660252767,0.6441131270911835,0.015170295818143106
pca_25,valence,classification,mlp_classifier,group_kfold,pca,25.0,0.9990953648109068,0.002723594570022908,,,0.14828689436044057,0.08199576108342473,,,0.9996172296307321,0.0015782026628479039,0.999617230913332,0.0015781973745530547,0.5852264713832054,0.03987771734580914,0.5603488472155096,0.05267634781368941
pca_25,valence,classification,mlp_classifier,kfold,pca,25.0,0.9957366372323335,0.010136288186932834,,,0.5580884050550801,0.031874369753796226,,,0.997460311961746,0.006931151795575435,0.9974608319827121,0.006929253222846573,0.7648934948516797,0.016401055697530618,0.7649615275007124,0.016441673733872796
pca_30,arousal,classification,logistic_regression,group_kfold,pca,30.0,0.4775418117356659,0.007852204421796875,,,0.4793685809633394,0.10322561863986994,,,0.7156279475237324,0.0031776466659230135,0.7159712128038254,0.0032055398953664415,0.7094867843169439,0.04136477112109441,0.6943380012520188,0.05663992935312082
pca_30,arousal,classification,logistic_regression,kfold,pca,30.0,0.47681766044753915,0.0019028365331507729,,,0.4723909032891893,0.02959662710400387,,,0.7162330360954375,0.0012353323852118236,0.7165071461192382,0.0012220971931710231,0.7139796523708717,0.014626625878897976,0.7142978373072417,0.014598387611913274
